model_name,module_name,category_name,response_level,function_name,confidence
yolov3,module1,person,0.6017,边缘检测,0.85
yolov3,module1,car,0.5774,纹理识别,0.78
yolov3,module1,traffic_light,0.5831,物体检测,0.72
yolov3,module1,bird,0.5831,光照适应,0.76
yolov3,module1,backpack,0.5183,边缘检测,0.82
yolov3,module1,sports_ball,0.6024,纹理识别,0.81
yolov3,module1,bottle,0.6729,边界框回归,0.68
yolov3,module1,apple,0.8218,物体检测,0.95
yolov3,module1,couch,0.5993,边缘检测,0.79
yolov3,module1,laptop,0.5258,纹理识别,0.74
yolov3,module2,person,0.3376,物体检测,0.88
yolov3,module2,car,0.3053,边界框回归,0.73
yolov3,module2,traffic_light,0.4066,关键点检测,0.71
yolov3,module2,bird,0.4066,语义分割,0.65
yolov3,module2,backpack,0.3620,物体检测,0.87
yolov3,module2,sports_ball,0.4722,边界框回归,0.75
yolov3,module2,bottle,0.6684,关键点检测,0.83
yolov3,module2,apple,1.0481,场景分类,0.55
yolov3,module2,couch,0.3359,物体检测,0.86
yolov3,module2,laptop,0.4917,边界框回归,0.73
yolov3,module3,person,0.1396,语义分割,0.58
yolov3,module3,car,0.0538,场景分类,0.52
yolov3,module3,traffic_light,0.0672,纹理识别,0.62
yolov3,module3,bird,0.0672,多模态融合,0.51
yolov3,module3,backpack,0.1808,语义分割,0.62
yolov3,module3,sports_ball,0.0730,场景分类,0.54
yolov3,module3,bottle,0.1000,边缘检测,0.67
yolov3,module3,apple,0.1259,多模态融合,0.59
yolov3,module3,couch,0.0631,语义分割,0.53
yolov3,module3,laptop,0.1235,场景分类,0.56
yolov3,module4,person,-0.1727,关系建模,0.45
yolov3,module4,car,-0.2698,多模态融合,0.39
yolov3,module4,traffic_light,-0.1811,关键点检测,0.42
yolov3,module4,bird,-0.1811,场景分类,0.42
yolov3,module4,backpack,-0.1740,关系建模,0.46
yolov3,module4,sports_ball,-0.1899,多模态融合,0.41
yolov3,module4,bottle,-0.2845,边界框回归,0.48
yolov3,module4,apple,-0.2341,场景分类,0.43
yolov3,module4,couch,-0.2557,物体检测,0.40
yolov3,module4,laptop,-0.3125,多模态融合,0.37


yolox,module1,person,1.1863,物体检测,0.92
yolox,module1,car,1.5358,边界框回归,0.95
yolox,module1,traffic_light,1.6313,边缘检测,0.88
yolox,module1,bird,1.1854,物体检测,0.91
yolox,module1,backpack,1.3304,边界框回归,0.94
yolox,module1,sports_ball,1.8332,纹理识别,0.89
yolox,module1,bottle,1.1859,物体检测,0.90
yolox,module1,apple,1.3219,边界框回归,0.93
yolox,module1,couch,1.1292,颜色感知,0.86
yolox,module1,laptop,1.0859,物体检测,0.89
yolox,module2,person,0.0955,关键点检测,0.82
yolox,module2,car,0.1391,语义分割,0.78
yolox,module2,traffic_light,0.1323,关键点检测,0.81
yolox,module2,bird,0.1062,边缘检测,0.85
yolox,module2,backpack,0.1156,关键点检测,0.80
yolox,module2,sports_ball,0.1457,物体检测,0.87
yolox,module2,bottle,0.1060,关键点检测,0.79
yolox,module2,apple,0.1276,边界框回归,0.84
yolox,module2,couch,0.1114,关键点检测,0.81
yolox,module2,laptop,0.1040,纹理识别,0.83
yolox,module3,person,0.0217,场景分类,0.72
yolox,module3,car,0.0571,多模态融合,0.75
yolox,module3,traffic_light,0.0691,场景分类,0.73
yolox,module3,bird,0.0609,关系建模,0.71
yolox,module3,backpack,0.0499,场景分类,0.74
yolox,module3,sports_ball,0.0642,光照适应,0.68
yolox,module3,bottle,0.0260,场景分类,0.71
yolox,module3,apple,0.0429,姿态估计,0.76
yolox,module3,couch,0.0249,场景分类,0.70
yolox,module3,laptop,0.0267,颜色感知,0.69
yolox,module4,person,0.0409,关系建模,0.79
